"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","mass_list_match_kaniz_list_1","mass_list_match_kps_npl","mass_list_match_kps_pharmaceuticals_oct22","ms2","reference_ion","sample","group_area","peak_rating"
46,"4-[(6E)-3-Hydroxy-8,10-dimethyl-2-(methylamino)-6-dodecen-1-yl]phenol_11.337","4-[(6E)-3-Hydroxy-8,10-dimethyl-2-(methylamino)-6-dodecen-1-yl]phenol","C21 H35 N O2","Full match","Full match","No results",0.04,333.26679,334.27407,11.337,2980817255.80706,1,70.1,44.2,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_27_b",2980817255.80706,5.7
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_1_a",10403385.5970397,7.8
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_1_b",7413260.78906119,7.8
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_1_c",8319813.1501401,10
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_4_a",100387428.927463,8.4
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_4_b",149843487.542613,8.4
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_4_c",114958860.456638,8.4
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_7_a",241515271.872722,8.4
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_7_b",437652462.336227,8.4
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_7_c",429882337.230128,8.4
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_10_a",10783907.5145406,9.5
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_10_b",3277105.83442185,9.1
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_10_c",2667551.36298542,7.5
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_21_a",666312580.331145,8.9
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_21_b",829060693.492475,8.9
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_21_c",832380956.925443,8.4
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_24_a",1185120641.87439,8.4
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_24_b",1157590936.84935,8.4
116,"N,N'-Dicyclohexylurea_15.621","N,N'-Dicyclohexylurea","C13 H24 N2 O","Full match","Full match","No results",-0.1,224.18884,225.19612,15.621,1185120641.87439,1,98.7,94.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_24_c",1005535600.71493,9.5
118,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.586","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.13,216.10108,217.10836,6.586,1176336615.8919,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_1_a",13551502.3513201,6.2
118,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.586","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.13,216.10108,217.10836,6.586,1176336615.8919,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_1_b",5923265.61147251,6.2
118,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.586","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.13,216.10108,217.10836,6.586,1176336615.8919,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_1_c",2630430.08818776,6.4
118,"6-(4-methoxyphenyl)pyrimidine-2,4-diamine_6.586","6-(4-methoxyphenyl)pyrimidine-2,4-diamine","C11 H12 N4 O","Full match","Full match","No results",-0.13,216.10108,217.10836,6.586,1176336615.8919,3,88,9.4,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_3_4_b",357979.976251118,6.8
