"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","mass_list_match_kaniz_list_1","mass_list_match_kps_npl","mass_list_match_kps_pharmaceuticals_oct22","ms2","reference_ion","sample","group_area","peak_rating"
9123,"5,6-Dimethyl-3-(3-methyl-1-phenyl-1H-pyrazol-5-yl)-2-thioxo-2,3-dihydrothieno[2,3-d]pyrimidin-4(1H)-one_14.815","5,6-Dimethyl-3-(3-methyl-1-phenyl-1H-pyrazol-5-yl)-2-thioxo-2,3-dihydrothieno[2,3-d]pyrimidin-4(1H)-one","C18 H16 N4 O S2","No match","Full match","No results",-4.81,368.07478,369.08206,14.815,7757435.36026745,3,72.3,45.5,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",228037.368520615,7.1
9123,"5,6-Dimethyl-3-(3-methyl-1-phenyl-1H-pyrazol-5-yl)-2-thioxo-2,3-dihydrothieno[2,3-d]pyrimidin-4(1H)-one_14.815","5,6-Dimethyl-3-(3-methyl-1-phenyl-1H-pyrazol-5-yl)-2-thioxo-2,3-dihydrothieno[2,3-d]pyrimidin-4(1H)-one","C18 H16 N4 O S2","No match","Full match","No results",-4.81,368.07478,369.08206,14.815,7757435.36026745,3,72.3,45.5,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_b",7757435.36026745,6.7
9156,"2-chloro-3-(2-methoxyanilino)-1,4-dihydronaphthalene-1,4-dione_11.497","2-chloro-3-(2-methoxyanilino)-1,4-dihydronaphthalene-1,4-dione","C17 H12 Cl N O3","No match","Full match","No results",4.07,313.05184,314.05912,11.497,7708149.5552726,2,62.4,8.1,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_a",681739.267626444,8.5
9156,"2-chloro-3-(2-methoxyanilino)-1,4-dihydronaphthalene-1,4-dione_11.497","2-chloro-3-(2-methoxyanilino)-1,4-dihydronaphthalene-1,4-dione","C17 H12 Cl N O3","No match","Full match","No results",4.07,313.05184,314.05912,11.497,7708149.5552726,2,62.4,8.1,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_c",749803.216942373,7.4
9156,"2-chloro-3-(2-methoxyanilino)-1,4-dihydronaphthalene-1,4-dione_11.497","2-chloro-3-(2-methoxyanilino)-1,4-dihydronaphthalene-1,4-dione","C17 H12 Cl N O3","No match","Full match","No results",4.07,313.05184,314.05912,11.497,7708149.5552726,2,62.4,8.1,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_43_b",3465279.88121835,8
9156,"2-chloro-3-(2-methoxyanilino)-1,4-dihydronaphthalene-1,4-dione_11.497","2-chloro-3-(2-methoxyanilino)-1,4-dihydronaphthalene-1,4-dione","C17 H12 Cl N O3","No match","Full match","No results",4.07,313.05184,314.05912,11.497,7708149.5552726,2,62.4,8.1,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_a",5900811.1823548,8.6
9156,"2-chloro-3-(2-methoxyanilino)-1,4-dihydronaphthalene-1,4-dione_11.497","2-chloro-3-(2-methoxyanilino)-1,4-dihydronaphthalene-1,4-dione","C17 H12 Cl N O3","No match","Full match","No results",4.07,313.05184,314.05912,11.497,7708149.5552726,2,62.4,8.1,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_55_b",7708149.5552726,7.8
9194,"17α-Methyl-androstan-3-hydroxyimine-17β-ol_14.602","17α-Methyl-androstan-3-hydroxyimine-17β-ol","C20 H33 N O2","Not the top hit","Full match","No results",-0.2,319.25106,320.25834,14.602,7663581.15295103,2,78.4,59.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_25_c",4172888.29940254,8.6
9194,"17α-Methyl-androstan-3-hydroxyimine-17β-ol_14.602","17α-Methyl-androstan-3-hydroxyimine-17β-ol","C20 H33 N O2","Not the top hit","Full match","No results",-0.2,319.25106,320.25834,14.602,7663581.15295103,2,78.4,59.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_b",6074034.83954638,8.6
9194,"17α-Methyl-androstan-3-hydroxyimine-17β-ol_14.602","17α-Methyl-androstan-3-hydroxyimine-17β-ol","C20 H33 N O2","Not the top hit","Full match","No results",-0.2,319.25106,320.25834,14.602,7663581.15295103,2,78.4,59.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_34_c",7663581.15295103,8.9
9194,"17α-Methyl-androstan-3-hydroxyimine-17β-ol_14.602","17α-Methyl-androstan-3-hydroxyimine-17β-ol","C20 H33 N O2","Not the top hit","Full match","No results",-0.2,319.25106,320.25834,14.602,7663581.15295103,2,78.4,59.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_38_a",233065.482801026,7.1
9194,"17α-Methyl-androstan-3-hydroxyimine-17β-ol_14.602","17α-Methyl-androstan-3-hydroxyimine-17β-ol","C20 H33 N O2","Not the top hit","Full match","No results",-0.2,319.25106,320.25834,14.602,7663581.15295103,2,78.4,59.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_a",2654848.76237976,8
9194,"17α-Methyl-androstan-3-hydroxyimine-17β-ol_14.602","17α-Methyl-androstan-3-hydroxyimine-17β-ol","C20 H33 N O2","Not the top hit","Full match","No results",-0.2,319.25106,320.25834,14.602,7663581.15295103,2,78.4,59.6,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_39_b",2380363.83484804,8
9228,"1-[4-mercapto-2-(2-methoxyphenyl)-6-methylpyrimidin-5-yl]ethan-1-one_15.471","1-[4-mercapto-2-(2-methoxyphenyl)-6-methylpyrimidin-5-yl]ethan-1-one","C14 H14 N2 O2 S","Full match","Full match","No results",0.34,274.07769,275.08497,15.471,7614282.83379783,6,76.6,8.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_28_a",7614282.83379783,5.7
9228,"1-[4-mercapto-2-(2-methoxyphenyl)-6-methylpyrimidin-5-yl]ethan-1-one_15.471","1-[4-mercapto-2-(2-methoxyphenyl)-6-methylpyrimidin-5-yl]ethan-1-one","C14 H14 N2 O2 S","Full match","Full match","No results",0.34,274.07769,275.08497,15.471,7614282.83379783,6,76.6,8.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_28_b",642300.401191234,6.8
9228,"1-[4-mercapto-2-(2-methoxyphenyl)-6-methylpyrimidin-5-yl]ethan-1-one_15.471","1-[4-mercapto-2-(2-methoxyphenyl)-6-methylpyrimidin-5-yl]ethan-1-one","C14 H14 N2 O2 S","Full match","Full match","No results",0.34,274.07769,275.08497,15.471,7614282.83379783,6,76.6,8.8,"No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1","batch_5_28_c",1437449.65706646,7.2
