"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
3037,"Delta 9 Tetrahydrocannabinol (THC)_22.653","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.69,314.2248,315.23207,22.653,14134734.5344585,8,89.4,81.9,"DDA for preferred ion","[M+H]+1","7_newdry_a",8927649.66622229,7.7,"1","newdry","kps_cannabinoids","Multiple matches found"
3037,"Delta 9 Tetrahydrocannabinol (THC)_22.653","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.69,314.2248,315.23207,22.653,14134734.5344585,8,89.4,81.9,"DDA for preferred ion","[M+H]+1","8_newdry_b",7565478.32692545,6.3,"2","newdry","kps_cannabinoids","Multiple matches found"
3037,"Delta 9 Tetrahydrocannabinol (THC)_22.653","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.69,314.2248,315.23207,22.653,14134734.5344585,8,89.4,81.9,"DDA for preferred ion","[M+H]+1","9_newdry_c",8048504.13392898,7.4,"3","newdry","kps_cannabinoids","Multiple matches found"
3037,"Delta 9 Tetrahydrocannabinol (THC)_22.653","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.69,314.2248,315.23207,22.653,14134734.5344585,8,89.4,81.9,"DDA for preferred ion","[M+H]+1","10_olddry_a",6203428.37233583,5.8,"1","olddry","kps_cannabinoids","Multiple matches found"
3037,"Delta 9 Tetrahydrocannabinol (THC)_22.653","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.69,314.2248,315.23207,22.653,14134734.5344585,8,89.4,81.9,"DDA for preferred ion","[M+H]+1","11_olddry_b",6701778.79297175,7.4,"2","olddry","kps_cannabinoids","Multiple matches found"
3037,"Delta 9 Tetrahydrocannabinol (THC)_22.653","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.69,314.2248,315.23207,22.653,14134734.5344585,8,89.4,81.9,"DDA for preferred ion","[M+H]+1","12_olddry_c",5118184.88663456,6.3,"3","olddry","kps_cannabinoids","Multiple matches found"
3151,"Delta 9 Tetrahydrocannabinol (THC)_22.745","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.76,314.22482,315.2321,22.745,13292715.9361766,8,87.6,80.7,"DDA for preferred ion","[M+H]+1","4_centrin_a",3737970.44575177,8.2,"1","centrin","kps_cannabinoids","Multiple matches found"
3151,"Delta 9 Tetrahydrocannabinol (THC)_22.745","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.76,314.22482,315.2321,22.745,13292715.9361766,8,87.6,80.7,"DDA for preferred ion","[M+H]+1","5_centrin_b",3601465.74421895,6,"2","centrin","kps_cannabinoids","Multiple matches found"
3151,"Delta 9 Tetrahydrocannabinol (THC)_22.745","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.76,314.22482,315.2321,22.745,13292715.9361766,8,87.6,80.7,"DDA for preferred ion","[M+H]+1","19_digester4a",3385888.41647159,7.1,"1","digesterD","kps_cannabinoids","Multiple matches found"
3151,"Delta 9 Tetrahydrocannabinol (THC)_22.745","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.76,314.22482,315.2321,22.745,13292715.9361766,8,87.6,80.7,"DDA for preferred ion","[M+H]+1","20_digester4b",3548909.96700949,7.1,"2","digesterD","kps_cannabinoids","Multiple matches found"
3151,"Delta 9 Tetrahydrocannabinol (THC)_22.745","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.76,314.22482,315.2321,22.745,13292715.9361766,8,87.6,80.7,"DDA for preferred ion","[M+H]+1","1_feedpump_a",3357783.23056977,7.1,"1","feedpump","kps_cannabinoids","Multiple matches found"
3151,"Delta 9 Tetrahydrocannabinol (THC)_22.745","Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2","Not the top hit","Partial match","Full match",0.76,314.22482,315.2321,22.745,13292715.9361766,8,87.6,80.7,"DDA for preferred ion","[M+H]+1","2_feedpump_b",13292715.9361766,6.1,"2","feedpump","kps_cannabinoids","Multiple matches found"
1014,"JWH-133_19.028","JWH-133","C22 H32 O","Full match","Not the top hit","Full match",0.39,312.24544,313.25272,19.028,53949570.0296863,2,85.9,79.5,"DDA for preferred ion","[M+H]+1","7_newdry_a",33431187.3326601,7.8,"1","newdry","kps_cannabinoids","Single match found"
1014,"JWH-133_19.028","JWH-133","C22 H32 O","Full match","Not the top hit","Full match",0.39,312.24544,313.25272,19.028,53949570.0296863,2,85.9,79.5,"DDA for preferred ion","[M+H]+1","9_newdry_c",39216213.3032036,6.7,"3","newdry","kps_cannabinoids","Single match found"
855,"JWH-133_20.454","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.45,312.24546,313.25273,20.454,63280224.5730261,2,85.5,79.2,"DDA for preferred ion","[M+H]+1","4_centrin_a",60656094.6992365,5.1,"1","centrin","kps_cannabinoids","Single match found"
855,"JWH-133_20.454","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.45,312.24546,313.25273,20.454,63280224.5730261,2,85.5,79.2,"DDA for preferred ion","[M+H]+1","5_centrin_b",52790384.2799812,5.1,"2","centrin","kps_cannabinoids","Single match found"
855,"JWH-133_20.454","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.45,312.24546,313.25273,20.454,63280224.5730261,2,85.5,79.2,"DDA for preferred ion","[M+H]+1","6_centrin_c",52953753.6235757,5.1,"3","centrin","kps_cannabinoids","Single match found"
855,"JWH-133_20.454","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.45,312.24546,313.25273,20.454,63280224.5730261,2,85.5,79.2,"DDA for preferred ion","[M+H]+1","8_newdry_b",60877170.2341572,7.3,"2","newdry","kps_cannabinoids","Single match found"
855,"JWH-133_20.454","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.45,312.24546,313.25273,20.454,63280224.5730261,2,85.5,79.2,"DDA for preferred ion","[M+H]+1","9_newdry_c",63280224.5730261,6.2,"3","newdry","kps_cannabinoids","Single match found"
3762,"JWH-133_20.646","JWH-133","C22 H32 O","Full match","Not the top hit","Full match",-0.18,312.24526,313.25254,20.646,9878886.42049751,2,85.3,79,"DDA for preferred ion","[M+H]+1","5_centrin_b",9878886.42049751,7.7,"2","centrin","kps_cannabinoids","Single match found"
3762,"JWH-133_20.646","JWH-133","C22 H32 O","Full match","Not the top hit","Full match",-0.18,312.24526,313.25254,20.646,9878886.42049751,2,85.3,79,"DDA for preferred ion","[M+H]+1","6_centrin_c",9252610.37123969,7.7,"3","centrin","kps_cannabinoids","Single match found"
2101,"JWH-133_21.701","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.52,312.24548,313.25276,21.701,23691624.0786239,2,82.8,77.2,"DDA for preferred ion","[M+H]+1","4_centrin_a",16465993.5668858,7,"1","centrin","kps_cannabinoids","Single match found"
2101,"JWH-133_21.701","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.52,312.24548,313.25276,21.701,23691624.0786239,2,82.8,77.2,"DDA for preferred ion","[M+H]+1","5_centrin_b",13640175.9124656,7.2,"2","centrin","kps_cannabinoids","Single match found"
2101,"JWH-133_21.701","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.52,312.24548,313.25276,21.701,23691624.0786239,2,82.8,77.2,"DDA for preferred ion","[M+H]+1","19_digester4a",23691624.0786239,7,"1","digesterD","kps_cannabinoids","Single match found"
2101,"JWH-133_21.701","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.52,312.24548,313.25276,21.701,23691624.0786239,2,82.8,77.2,"DDA for preferred ion","[M+H]+1","20_digester4b",21338458.841256,7,"2","digesterD","kps_cannabinoids","Single match found"
2101,"JWH-133_21.701","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.52,312.24548,313.25276,21.701,23691624.0786239,2,82.8,77.2,"DDA for preferred ion","[M+H]+1","7_newdry_a",11666135.606228,6.1,"1","newdry","kps_cannabinoids","Single match found"
2101,"JWH-133_21.701","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.52,312.24548,313.25276,21.701,23691624.0786239,2,82.8,77.2,"DDA for preferred ion","[M+H]+1","8_newdry_b",11552944.3125101,6.1,"2","newdry","kps_cannabinoids","Single match found"
2101,"JWH-133_21.701","JWH-133","C22 H32 O","Not the top hit","Not the top hit","Full match",0.52,312.24548,313.25276,21.701,23691624.0786239,2,82.8,77.2,"DDA for preferred ion","[M+H]+1","9_newdry_c",13965213.8364291,6.1,"3","newdry","kps_cannabinoids","Single match found"
2667,"JWH-198_18.755","JWH-198","C26 H26 N2 O3","Not the top hit","No results","Full match",-0.08,414.19431,415.20159,18.755,17365401.2386263,0,NA,NA,"DDA for preferred ion","[M+H]+1","4_centrin_a",12032038.2916256,7.2,"1","centrin","kps_cannabinoids","Single match found"
2667,"JWH-198_18.755","JWH-198","C26 H26 N2 O3","Not the top hit","No results","Full match",-0.08,414.19431,415.20159,18.755,17365401.2386263,0,NA,NA,"DDA for preferred ion","[M+H]+1","6_centrin_c",8494671.13234714,8.5,"3","centrin","kps_cannabinoids","Single match found"
2667,"JWH-198_18.755","JWH-198","C26 H26 N2 O3","Not the top hit","No results","Full match",-0.08,414.19431,415.20159,18.755,17365401.2386263,0,NA,NA,"DDA for preferred ion","[M+H]+1","10_olddry_a",5196976.54126477,6.8,"1","olddry","kps_cannabinoids","Single match found"
2667,"JWH-198_18.755","JWH-198","C26 H26 N2 O3","Not the top hit","No results","Full match",-0.08,414.19431,415.20159,18.755,17365401.2386263,0,NA,NA,"DDA for preferred ion","[M+H]+1","12_olddry_c",5852301.08588866,7.4,"3","olddry","kps_cannabinoids","Single match found"
3670,"JWH-198_19.61","JWH-198","C26 H26 N2 O3","Full match","Not the top hit","Full match",-0.04,414.19432,415.2016,19.61,10290480.5541746,6,73.5,46.2,"DDA for preferred ion","[M+H]+1","13_digester1a",6206609.40759154,7.9,"1","digesterA","kps_cannabinoids","Single match found"
3670,"JWH-198_19.61","JWH-198","C26 H26 N2 O3","Full match","Not the top hit","Full match",-0.04,414.19432,415.2016,19.61,10290480.5541746,6,73.5,46.2,"DDA for preferred ion","[M+H]+1","14_digester1b",9642464.32826096,9.3,"2","digesterA","kps_cannabinoids","Single match found"
3670,"JWH-198_19.61","JWH-198","C26 H26 N2 O3","Full match","Not the top hit","Full match",-0.04,414.19432,415.2016,19.61,10290480.5541746,6,73.5,46.2,"DDA for preferred ion","[M+H]+1","15_digester2a",10290480.5541746,7.7,"1","digesterB","kps_cannabinoids","Single match found"
3670,"JWH-198_19.61","JWH-198","C26 H26 N2 O3","Full match","Not the top hit","Full match",-0.04,414.19432,415.2016,19.61,10290480.5541746,6,73.5,46.2,"DDA for preferred ion","[M+H]+1","16_digester2b",4974005.44353263,7.1,"2","digesterB","kps_cannabinoids","Single match found"
2225,"JWH 200 analog 1_17.372","JWH 200 analog 1","C22 H30 N2 O2","Not the top hit","Not the top hit","Full match",0.35,354.23085,355.23817,17.372,22009282.2674248,7,73,8.7,"DDA for preferred ion","[M+H]+1","1_feedpump_a",17863351.4603205,8.6,"1","feedpump","kps_cannabinoids","Single match found"
2225,"JWH 200 analog 1_17.372","JWH 200 analog 1","C22 H30 N2 O2","Not the top hit","Not the top hit","Full match",0.35,354.23085,355.23817,17.372,22009282.2674248,7,73,8.7,"DDA for preferred ion","[M+H]+1","2_feedpump_b",22009282.2674248,7.5,"2","feedpump","kps_cannabinoids","Single match found"
1077,"JWH 200 analog 1_17.744","JWH 200 analog 1","C22 H30 N2 O2","Not the top hit","Invalid mass","Full match",0.24,354.23081,355.23814,17.744,50718857.9277308,14,83.6,9.2,"DDA for preferred ion","[M+H]+1","4_centrin_a",10367661.9458281,6.6,"1","centrin","kps_cannabinoids","Single match found"
1077,"JWH 200 analog 1_17.744","JWH 200 analog 1","C22 H30 N2 O2","Not the top hit","Invalid mass","Full match",0.24,354.23081,355.23814,17.744,50718857.9277308,14,83.6,9.2,"DDA for preferred ion","[M+H]+1","5_centrin_b",5493790.18089617,6.8,"2","centrin","kps_cannabinoids","Single match found"
1077,"JWH 200 analog 1_17.744","JWH 200 analog 1","C22 H30 N2 O2","Not the top hit","Invalid mass","Full match",0.24,354.23081,355.23814,17.744,50718857.9277308,14,83.6,9.2,"DDA for preferred ion","[M+H]+1","6_centrin_c",12279438.4280714,7.2,"3","centrin","kps_cannabinoids","Single match found"
1036,"JWH 200 analog 1_18.087","JWH 200 analog 1","C22 H30 N2 O2","Not the top hit","Invalid mass","Full match",0.12,354.23077,355.23812,18.087,52858655.4963242,15,84.3,9.2,"DDA for preferred ion","[M+H]+1","13_digester1a",8965242.37412963,7.2,"1","digesterA","kps_cannabinoids","Single match found"
1036,"JWH 200 analog 1_18.087","JWH 200 analog 1","C22 H30 N2 O2","Not the top hit","Invalid mass","Full match",0.12,354.23077,355.23812,18.087,52858655.4963242,15,84.3,9.2,"DDA for preferred ion","[M+H]+1","14_digester1b",5315809.41086845,7.4,"2","digesterA","kps_cannabinoids","Single match found"
1036,"JWH 200 analog 1_18.087","JWH 200 analog 1","C22 H30 N2 O2","Not the top hit","Invalid mass","Full match",0.12,354.23077,355.23812,18.087,52858655.4963242,15,84.3,9.2,"DDA for preferred ion","[M+H]+1","15_digester2a",9168258.82047651,7.7,"1","digesterB","kps_cannabinoids","Single match found"
1036,"JWH 200 analog 1_18.087","JWH 200 analog 1","C22 H30 N2 O2","Not the top hit","Invalid mass","Full match",0.12,354.23077,355.23812,18.087,52858655.4963242,15,84.3,9.2,"DDA for preferred ion","[M+H]+1","16_digester2b",5201276.06342979,7.4,"2","digesterB","kps_cannabinoids","Single match found"
785,"JWH 200_17.549","JWH 200","C25 H24 N2 O2","No match","Not the top hit","Full match",-3.33,384.1825,385.18978,17.549,69186008.8282143,5,75.8,8.8,"DDA for preferred ion","[M+H]+1","4_centrin_a",425057.645667404,7.6,"1","centrin","kps_cannabinoids","Single match found"
785,"JWH 200_17.549","JWH 200","C25 H24 N2 O2","No match","Not the top hit","Full match",-3.33,384.1825,385.18978,17.549,69186008.8282143,5,75.8,8.8,"DDA for preferred ion","[M+H]+1","5_centrin_b",3650569.43020928,7.1,"2","centrin","kps_cannabinoids","Single match found"
785,"JWH 200_17.549","JWH 200","C25 H24 N2 O2","No match","Not the top hit","Full match",-3.33,384.1825,385.18978,17.549,69186008.8282143,5,75.8,8.8,"DDA for preferred ion","[M+H]+1","7_newdry_a",69186008.8282143,8.4,"1","newdry","kps_cannabinoids","Single match found"
785,"JWH 200_17.549","JWH 200","C25 H24 N2 O2","No match","Not the top hit","Full match",-3.33,384.1825,385.18978,17.549,69186008.8282143,5,75.8,8.8,"DDA for preferred ion","[M+H]+1","8_newdry_b",66417310.1262834,8.9,"2","newdry","kps_cannabinoids","Single match found"
785,"JWH 200_17.549","JWH 200","C25 H24 N2 O2","No match","Not the top hit","Full match",-3.33,384.1825,385.18978,17.549,69186008.8282143,5,75.8,8.8,"DDA for preferred ion","[M+H]+1","9_newdry_c",54001276.1070023,7.8,"3","newdry","kps_cannabinoids","Single match found"
3015,"Tetrahydrocannabivarin (THCV)_17.434","Tetrahydrocannabivarin (THCV)","C19 H26 O2","Full match","Partial match","Full match",0.08,286.1933,287.20058,17.434,14291817.5044769,8,88.9,9.4,"DDA for preferred ion","[M+H]+1","7_newdry_a",14291817.5044769,6.1,"1","newdry","kps_cannabinoids","Multiple matches found"
3015,"Tetrahydrocannabivarin (THCV)_17.434","Tetrahydrocannabivarin (THCV)","C19 H26 O2","Full match","Partial match","Full match",0.08,286.1933,287.20058,17.434,14291817.5044769,8,88.9,9.4,"DDA for preferred ion","[M+H]+1","8_newdry_b",9643192.2783621,5.5,"2","newdry","kps_cannabinoids","Multiple matches found"
4055,"UR-144_20.1","UR-144","C21 H29 N O","Not the top hit","Not the top hit","Full match",0.55,311.22509,312.23236,20.1,8485331.49078333,4,77.6,48.7,"DDA for preferred ion","[M+H]+1","4_centrin_a",6337583.29994433,6.8,"1","centrin","kps_cannabinoids","Single match found"
4055,"UR-144_20.1","UR-144","C21 H29 N O","Not the top hit","Not the top hit","Full match",0.55,311.22509,312.23236,20.1,8485331.49078333,4,77.6,48.7,"DDA for preferred ion","[M+H]+1","5_centrin_b",6369555.92178106,7.4,"2","centrin","kps_cannabinoids","Single match found"
4055,"UR-144_20.1","UR-144","C21 H29 N O","Not the top hit","Not the top hit","Full match",0.55,311.22509,312.23236,20.1,8485331.49078333,4,77.6,48.7,"DDA for preferred ion","[M+H]+1","6_centrin_c",5301971.52913544,7.9,"3","centrin","kps_cannabinoids","Single match found"
3096,"UR-144_20.242","UR-144","C21 H29 N O","Not the top hit","Not the top hit","Full match",0.32,311.22501,312.23229,20.242,13698640.5043286,4,76.2,8.8,"DDA for preferred ion","[M+H]+1","1_feedpump_a",4105231.80228589,7.1,"1","feedpump","kps_cannabinoids","Single match found"
3096,"UR-144_20.242","UR-144","C21 H29 N O","Not the top hit","Not the top hit","Full match",0.32,311.22501,312.23229,20.242,13698640.5043286,4,76.2,8.8,"DDA for preferred ion","[M+H]+1","2_feedpump_b",4701240.30772197,7.1,"2","feedpump","kps_cannabinoids","Single match found"
3096,"UR-144_20.242","UR-144","C21 H29 N O","Not the top hit","Not the top hit","Full match",0.32,311.22501,312.23229,20.242,13698640.5043286,4,76.2,8.8,"DDA for preferred ion","[M+H]+1","3_feedpump_c",5406191.23958652,5.2,"3","feedpump","kps_cannabinoids","Single match found"
