"peak_number","name","formula","calc_mw","m_z","rt_min","mass_list_name","mean_area","sample_location"
2520,"(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide","C21 H36 N4 O3",392.27754,415.26675,19.274,"mz_cloud",3825410.78803066,"francistown wwtp surface water"
3334,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","C20 H38 O12",470.23649,493.22579,10.908,"mz_cloud",2858198.58598738,"francistown wwtp surface water"
3334,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","C20 H38 O12",470.23649,493.22579,10.908,"mz_cloud",1521777.60069243,"maun beach (after) surface water"
1566,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",282.18331,305.17258,15.538,"mz_cloud",3331427.2714223,"palapye wwtp (eff) waste water"
1566,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",282.18331,305.17258,15.538,"mz_cloud",3828571.60838535,"palapye wwtp surface water"
1566,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",282.18331,305.17258,15.538,"mz_cloud",5869215.08347464,"francistown wwtp surface water"
1566,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",282.18331,305.17258,15.538,"mz_cloud",2116112.21565238,"glen valley (reclamation) surface water"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",363.17518,364.18246,21.133,"mz_cloud",377900.780724974,"lecheng spring surface water"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",363.17518,364.18246,21.133,"mz_cloud",542833.949376336,"palapye wwtp (eff) waste water"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",363.17518,364.18246,21.133,"mz_cloud",1121572.43686713,"palapye wwtp surface water"
